id,name,slug,parent_id,parent_name,count,depth
146,Bosch,bosch,0,ROOT,1682,0
148,Constructa,constructa,0,ROOT,527,0
662,Gaggenau,gaggenau,0,ROOT,66,0
147,Siemens,siemens,0,ROOT,1067,0
201,בדיקה,%d7%91%d7%93%d7%99%d7%a7%d7%94,0,ROOT,0,0
200,הטבות ראש השנה,%d7%94%d7%98%d7%91%d7%95%d7%aa-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94,0,ROOT,0,0
15,כללי,%d7%a1%d7%99-%d7%90%d7%a1-%d7%91%d7%99-%d7%9e%d7%95%d7%a6%d7%a8%d7%99-%d7%97%d7%a9%d7%9e%d7%9c-%d7%91%d7%95%d7%a9-%d7%a1%d7%99%d7%9e%d7%a0%d7%a1-%d7%a7%d7%95%d7%a0%d7%a1%d7%98%d7%a8%d7%95%d7%a7%d7%98,0,ROOT,2,0
176,אביזרים וחלקי חילוף לבלנדרים בוש,%d7%91%d7%9c%d7%a0%d7%93%d7%a8%d7%99%d7%9d-bosch,146,Bosch,70,1
169,אביזרים וחלקי חילוף לכיריים בוש,%d7%9b%d7%99%d7%a8%d7%99%d7%99%d7%9d-bosch,146,Bosch,102,1
179,אביזרים וחלקי חילוף למגהצים בוש,%d7%9e%d7%92%d7%94%d7%a6%d7%99%d7%9d-bosch,146,Bosch,1,1
164,אביזרים וחלקי חילוף למדיחי כלים בוש,%d7%9e%d7%93%d7%99%d7%97%d7%99-%d7%9b%d7%9c%d7%99%d7%9d-bosch,146,Bosch,207,1
177,אביזרים וחלקי חילוף למטחנות בשר בוש,%d7%9e%d7%98%d7%97%d7%a0%d7%95%d7%aa-%d7%91%d7%a9%d7%a8-bosch,146,Bosch,74,1
153,אביזרים וחלקי חילוף למייבשי כביסה בוש,%d7%9e%d7%99%d7%99%d7%91%d7%a9%d7%99-%d7%9b%d7%91%d7%99%d7%a1%d7%94,146,Bosch,180,1
174,אביזרים וחלקי חילוף למיקסרים בוש,%d7%9e%d7%99%d7%a7%d7%a1%d7%a8%d7%99%d7%9d-bosch,146,Bosch,177,1
162,אביזרים וחלקי חילוף למיקרוגלים בוש,%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c%d7%99%d7%9d-bosch,146,Bosch,7,1
152,אביזרים וחלקי חילוף למכונות כביסה בוש,%d7%9e%d7%9b%d7%95%d7%a0%d7%95%d7%aa-%d7%9b%d7%91%d7%99%d7%a1%d7%94,146,Bosch,307,1
1152,אביזרים וחלקי חילוף למכונות קפה בוש,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%9b%d7%95%d7%a0%d7%95%d7%aa-%d7%a7%d7%a4%d7%94-%d7%91%d7%95%d7%a9,146,Bosch,35,1
175,אביזרים וחלקי חילוף למעבדי מזון בוש,%d7%9e%d7%a2%d7%91%d7%93%d7%99-%d7%9e%d7%96%d7%95%d7%9f-bosch,146,Bosch,110,1
