id,name,slug,parent_id,parent_name,count,depth
918,AEG,aeg,0,ROOT,1,0
1233,Amana,amana,0,ROOT,6,0
282,Bauknecht,bauknecht,0,ROOT,5,0
612,Beko,beko,0,ROOT,40,0
635,Bellers,%d7%91%d7%9c%d7%a8%d7%a1,0,ROOT,2,0
319,BLOMBERG,blomberg,0,ROOT,182,0
303,BOSE,bose,0,ROOT,6,0
615,Candy,candy,0,ROOT,8,0
1219,CHIQ,chiq,0,ROOT,1,0
817,CROWN,crown,0,ROOT,7,0
274,De'Longhi,de-longi,0,ROOT,63,0
335,DE-DIETRICH,de-dietrich,0,ROOT,6,0
342,FHIABA,fhiaba,0,ROOT,1,0
858,GENERAL,general,0,ROOT,5,0
327,GRUNDIG,grundig,0,ROOT,56,0
266,HAIER,haier,0,ROOT,35,0
1058,HISENES,hisenes,0,ROOT,2,0
295,HOOVER,hoover,0,ROOT,9,0
1320,Hyundai,hyundai,0,ROOT,1,0
290,INDESIT,indesit,0,ROOT,6,0
306,JBL,jbl,0,ROOT,1,0
867,KING,king,0,ROOT,1,0
138,KitchenAid,kitchenaid,0,ROOT,26,0
1209,KRUPS,krups,0,ROOT,1,0
638,LACASSA,lacassa,0,ROOT,8,0
641,LAVAMAT,lavamat,0,ROOT,9,0
139,Magimix,magimix,0,ROOT,72,0
299,Moulinex,moulinex,0,ROOT,13,0
367,Philips,philips,0,ROOT,16,0
631,PILOT,pilot,0,ROOT,8,0
965,Rosieres,rosieres,0,ROOT,1,0
1153,Rowenta,rowenta,0,ROOT,1,0
309,Samurai,samurai,0,ROOT,1,0
1354,Schneider,schneider,0,ROOT,1,0
1298,Scholtes,scholtes,0,ROOT,1,0
224,SHARP,sharp,0,ROOT,152,0
863,STARK,stark,0,ROOT,3,0
1052,TCL,tcl,0,ROOT,2,0
375,Tech,tech,0,ROOT,5,0
891,Technogas,technogas,0,ROOT,1,0
293,TEFAL,tefal,0,ROOT,14,0
1117,TOSHIBA,toshiba,0,ROOT,1,0
313,ZANUSSI,zanussi,0,ROOT,20,0
