id,name,slug,parent_id,parent_name,count,depth
240,Breville,breville,0,ROOT,71,0
405,Liebherr,liebherr,0,ROOT,210,0
233,Miele,miele,0,ROOT,471,0
1499,Philips,philips,0,ROOT,13,0
1741,Sage,sage,0,ROOT,21,0
520,Sauter,sauter,0,ROOT,72,0
1781,SBS1400,sbs1400,0,ROOT,1,0
784,Whirlpool,whirlpool,0,ROOT,43,0
15,כללי,%d7%9b%d7%9c%d7%9c%d7%99,0,ROOT,5,0
238,ניקיון ותחזוקה למוצרי חשמל מילה,%d7%a0%d7%99%d7%a7%d7%99%d7%95%d7%9f-%d7%95%d7%aa%d7%97%d7%96%d7%95%d7%a7%d7%94-%d7%9c%d7%9e%d7%95%d7%a6%d7%a8%d7%99-%d7%97%d7%a9%d7%9e%d7%9c-%d7%9e%d7%99%d7%9c%d7%94,0,ROOT,21,0
300,אביזרים וחלקי חילוף לכיריים מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9b%d7%99%d7%a8%d7%99%d7%99%d7%9d-%d7%9e%d7%99%d7%9c%d7%94,233,Miele,41,1
239,אביזרים וחלקי חילוף למדיחי כלים מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%93%d7%99%d7%97%d7%99-%d7%9b%d7%9c%d7%99%d7%9d-%d7%9e%d7%99%d7%9c%d7%94,233,Miele,111,1
235,אביזרים וחלקי חילוף למייבשי כביסה מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%99%d7%99%d7%91%d7%a9%d7%99-%d7%9b%d7%91%d7%99%d7%a1%d7%94-%d7%9e%d7%99%d7%9c,233,Miele,40,1
2256,אביזרים וחלקי חילוף למיקרוגל מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c-%d7%9e%d7%99%d7%9c%d7%94,233,Miele,1,1
234,אביזרים וחלקי חילוף למכונות כביסה מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%9b%d7%95%d7%a0%d7%95%d7%aa-%d7%9b%d7%91%d7%99%d7%a1%d7%94-%d7%9e%d7%99%d7%9c,233,Miele,73,1
236,אביזרים וחלקי חילוף למכונות קפה מילה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%9e%d7%9b%d7%95%d7%a0%d7%95%d7%aa-%d7%a7%d7%a4%d7%94-%d7%9e%d7%99%d7%9c%d7%94,233,Miele,53,1
